route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
"22-821-sj2-1","2435","821","Smithfield Industrial Area to Guildford","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-822-sj2-1","2435","822","Merrylands to Guildford (Loop Serivce)","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-823-sj2-1","2435","823","Liverpool to Warwick Farm (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-827-sj2-1","2435","827","Elizabeth Hills to Liverpool via Bonnyrigg Heights","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-829-sj2-1","2435","829","Parramatta to North Parramatta (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-835-sj2-1","2435","835","UWS to Prairiewood","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-S10-sj2-1","2435","S10","Miller Shopping Centre to Heckenberg","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-T80-sj2-1","2435","T80","Liverpool to Parramatta via T-way","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-600-sj2-1","2436","600","Castle Hill to Parramatta","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-601-sj2-1","2436","601","Rouse Hill to Parramatta","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-602-X-sj2-1","2436","602X","Rouse Hill to North Sydney","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-603-sj2-1","2436","603","Rouse Hill to Parramatta via Glenhaven","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-604-sj2-1","2436","604","Castle Hill to Parramatta via Winston Hills","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-605-sj2-1","2436","605","North Kellyville to Rouse Hill","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-606-sj2-1","2436","606","Winston Hills to Parramatta","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-607-X-sj2-1","2436","607X","Rouse Hill to City QVB","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-608-sj2-1","2436","608","Windsor to Rouse Hill","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-609-sj2-1","2436","609","Parramatta to North Parramatta (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-610-sj2-1","2436","610","Rouse Hill to City QVB","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-610-X-sj2-1","2436","610X","Rouse Hill to City QVB via Lane Cove Tunnel","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-611-sj2-1","2436","611","Blacktown to Macquarie Park via M2","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-612-X-sj2-1","2436","612X","Kellyville to Milsons Point","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-613-X-sj2-1","2436","613X","Bella Vista to City QVB","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-614-X-sj2-1","2436","614X","Crestwood to City QVB","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-615-X-sj2-1","2436","615X","North Kellyville to City QVB","Sydney Buses Network","3","00B5EF","FFFFFF"
